~~~~~ begin of mmap ~~~~~
[I][2022-02-10 +80 21:26:09.859][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.862][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.863][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.870][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.878][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.882][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.886][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.895][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.899][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.901][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.904][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.908][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.915][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.918][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.923][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.925][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.936][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.942][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.945][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.953][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.957][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.963][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.974][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.975][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.976][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:10.354][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:10.435][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:10.848][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:11.005][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:11.566][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:11.741][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:12.307][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:12.542][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:13.265][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:13.463][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:14.995][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:14.997][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:15.139][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:32:29.698][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:32:29.733][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:32:29.747][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:32:29.766][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:32:29.781][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:32:29.792][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:32:29.799][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:32:29.804][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:32:29.808][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:32:29.809][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:32:29.822][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:32:29.831][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:32:29.838][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:32:29.846][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:32:29.857][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:32:29.864][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:32:29.871][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:32:29.876][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:32:29.882][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:32:29.886][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:32:29.892][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:32:29.905][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:32:29.909][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:32:29.918][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:32:29.926][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:32:29.936][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:32:29.951][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:32:29.963][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:32:29.971][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:32:29.974][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:32:29.986][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:32:29.996][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:32:30.010][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:32:30.014][9164, 22120][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
